dt,temp,humidity,speed,deg,description
1615518000,287,87,2,143,clear sky
1615521600,286,87,3,148,clear sky
1615525200,285,87,3,170,clear sky
1615528800,284,87,3,175,clear sky
1615532400,283,93,3,175,clear sky
1615536000,284,93,2,177,clear sky
1615539600,283,93,2,182,mist
1615543200,282,93,2,202,clear sky
1615546800,280,93,2,194,clear sky
1615550400,280,93,2,189,clear sky
1615554000,285,93,2,208,clear sky
1615557600,289,94,2,211,clear sky
1615561200,293,56,2,222,scattered clouds
1615564800,296,46,3,218,clear sky
1615568400,298,36,2,240,clear sky
1615572000,300,28,3,200,clear sky
1615575600,300,31,2,310,clear sky
1615579200,300,28,3,260,clear sky
1615582800,300,31,2,290,clear sky
1615586400,300,28,3,250,clear sky
1615590000,298,31,3,240,clear sky
1615593600,294,59,2,247,clear sky
1615597200,291,72,2,248,clear sky
1615600800,289,82,2,239,clear sky
1615604400,288,88,2,246,clear sky
1615608000,288,88,2,251,clear sky
1615611600,288,87,2,265,clear sky
1615615200,288,87,3,261,clear sky
1615618800,287,93,2,259,clear sky
1615622400,284,93,2,275,clear sky
1615626000,283,93,2,293,clear sky
1615629600,283,87,2,300,clear sky
1615633200,283,87,2,309,mist
1615636800,281,93,2,320,mist
1615640400,285,93,2,278,mist
1615644000,290,82,2,279,clear sky
1615647600,294,52,2,281,clear sky
1615651200,298,41,2,302,clear sky
1615654800,300,38,2,330,clear sky
1615658400,301,32,2,70,scattered clouds
1615662000,302,30,0,321,scattered clouds
1615665600,302,26,1,175,scattered clouds
1615669200,302,28,3,290,broken clouds
1615672800,301,36,2,191,scattered clouds
1615676400,300,34,2,200,broken clouds
1615680000,297,64,1,217,broken clouds
1615683600,295,64,1,244,broken clouds
1615687200,294,82,2,60,broken clouds
1615690800,293,77,1,50,broken clouds
1615694400,291,77,2,92,scattered clouds
1615698000,291,68,2,110,broken clouds
1615701600,290,72,3,127,scattered clouds
1615705200,289,77,2,180,scattered clouds
1615708800,288,82,2,159,clear sky
1615712400,287,94,2,175,clear sky
1615716000,286,94,2,202,clear sky
1615719600,284,93,2,227,fog
1615723200,285,94,1,319,mist
1615726800,287,88,1,344,clear sky
1615730400,290,82,1,333,clear sky
1615734000,293,68,1,293,clear sky
1615737600,295,56,2,263,clear sky
1615741200,298,50,3,244,clear sky
1615744800,300,44,3,350,clear sky
1615748400,301,32,3,290,scattered clouds
1615752000,302,32,3,260,scattered clouds
1615755600,302,30,2,280,clear sky
1615759200,302,26,2,230,clear sky
1615762800,300,38,2,213,clear sky
1615762800,300,38,2,213,clear sky
1615766400,296,56,2,217,clear sky
1615770000,293,77,1,236,clear sky
1615773600,292,82,1,235,clear sky
1615777200,291,82,0,252,clear sky
1615780800,291,72,2,50,clear sky
1615784400,292,63,3,80,clear sky
1615788000,292,68,2,90,clear sky
1615791600,289,88,3,111,clear sky
1615795200,289,88,3,40,clear sky
1615798800,288,88,2,112,clear sky
1615802400,288,94,2,119,scattered clouds
1615806000,288,88,2,104,broken clouds
1615809600,288,94,3,98,scattered clouds
1615813200,289,94,4,92,broken clouds
1615816800,291,77,4,80,scattered clouds
1615820400,294,60,5,110,broken clouds
1615824000,296,53,4,120,broken clouds
1615827600,297,46,5,130,overcast clouds
1615831200,297,44,6,140,broken clouds
1615834800,296,49,4,140,overcast clouds
1615838400,296,46,5,130,overcast clouds
1615842000,297,43,4,150,overcast clouds
1615845600,297,43,5,150,overcast clouds
1615849200,296,49,4,140,overcast clouds
1615852800,293,56,4,110,overcast clouds
1615856400,292,60,6,120,overcast clouds
